index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S11_D23 hbo]:Condition[V],1.5458878668006962e-08,1.6885104666568652e-08,0.9155334819223526,0.35991163359224754,-1.7635318353656804e-08,4.855307568967073e-08,S11_D23 hbo,V,False,0.5660148767604576,False
ch_name[S12_D20 hbo]:Condition[V],2.3504749588012297e-08,1.6885104666568652e-08,1.392040502689337,0.1639101333580072,-9.589447433651469e-09,5.659894660967606e-08,S12_D20 hbo,V,False,0.34467959471855225,False
ch_name[S12_D21 hbo]:Condition[V],-4.333802667506399e-09,1.688510466656865e-08,-0.2566642465703533,0.7974379742020742,-3.742799968917016e-08,2.876039435415736e-08,S12_D21 hbo,V,False,0.8682164926223767,False
ch_name[S12_D22 hbo]:Condition[V],2.691339031049537e-08,1.6885104666568646e-08,1.5939131466435057,0.11095548945608293,-6.180806711168381e-09,6.000758733215913e-08,S12_D22 hbo,V,False,0.2740377189250907,False
ch_name[S12_D24 hbo]:Condition[V],-4.749756324023294e-09,1.6885104666568652e-08,-0.28129860121195965,0.7784813830866621,-3.784395334568706e-08,2.8344440697640473e-08,S12_D24 hbo,V,False,0.8577627125306769,False
ch_name[S13_D21 hbo]:Condition[V],-5.145114128423465e-09,1.688510466656865e-08,-0.30471319130229846,0.7605846019159469,-3.823931115008722e-08,2.7949082893240296e-08,S13_D21 hbo,V,False,0.8577627125306769,False
ch_name[S13_D23 hbo]:Condition[V],7.323335327732552e-09,1.6885104666568652e-08,0.4337157199997849,0.6644948897601923,-2.5770861693931214e-08,4.041753234939632e-08,S13_D23 hbo,V,False,0.7965280763249211,False
ch_name[S13_D24 hbo]:Condition[V],1.2957564246255509e-08,1.688510466656865e-08,0.7673961460191951,0.4428460192548638,-2.013663277540825e-08,4.605176126791927e-08,S13_D24 hbo,V,False,0.640153543099878,False
ch_name[S13_D25 hbo]:Condition[V],2.423088585305805e-08,1.6885104666568646e-08,1.4350450489675406,0.15127426082543266,-8.863311168605701e-09,5.7325082874721804e-08,S13_D25 hbo,V,False,0.3377665636835427,False
ch_name[S13_D31 hbo]:Condition[V],1.2445618121438518e-08,1.0000709569256518e-07,0.12444735081296598,0.9009610841817736,-1.8356468763444003e-07,2.0845592387731708e-07,S13_D31 hbo,V,False,0.943610489689745,False
ch_name[S14_D22 hbo]:Condition[V],1.9221858165653776e-08,1.6885104666568652e-08,1.138391413333181,0.25495707794731814,-1.387233885600999e-08,5.231605518731754e-08,S14_D22 hbo,V,False,0.457679047242015,False
ch_name[S14_D24 hbo]:Condition[V],3.334671335441193e-08,1.6885104666568652e-08,1.9749189604039668,0.048277345347033006,2.5251633274816517e-10,6.644091037607569e-08,S14_D24 hbo,V,True,0.16130380028364674,False
ch_name[S14_D26 hbo]:Condition[V],5.7482587427185016e-08,1.6885104666568652e-08,3.404337051045742,0.0006632485890907001,2.438839040552125e-08,9.057678444884878e-08,S14_D26 hbo,V,True,0.00790755574501856,True
